Unique ID,Unique qualifier,Species,Ant mimic?,Potential Source for image,Image found,Aspect,Sex,Notes,Done?,File,File exists?,"Adjustments (angle adjustments, interpolation)",Notes
Q95115,,Leichhardteus conopalpis,Yes,Raven 2015,,,,,,Q95115.jpg,No,,
Q98191,,Leptopicia bimaculata,Yes,Raven 2015,p116,Dorsal,Female,Drawing,Yes,Q98191_dorsal.jpg,,,
Q98191,b,Leptopicia bimaculata,Yes,Raven 2015,p117,Dorsal,Male,Photo,Yes,Q98191_b_dorsal_interpolated_angle_adjusted.jpg,Yes,"interpolated, angle adjusted",
Q44095,,Nucastia supunnoides,Yes,Raven 2015,p127,Dorsal,Male,Photo,Yes,Q44095_dorsal.jpg,,,
Q44095,b,Nucastia supunnoides,Yes,Raven 2015,p127,Dorsal,Female,Photo ,Yes,Q44095_b_dorsal_interpolation.jpg,,interpolated,
Q44095,c,Nucastia supunnoides,Yes,Raven 2015,p140,Dorsal,Female,Photo,Yes,Q44095_c_dorsal.jpg,,,
Q84821,,Nyssus albopunctatus,Yes,Raven 2015,p140,Dorsal,Female,Photo,Yes,Q84821_dorsal.jpg,,,
Q00016,,Nyssus avidus,Yes,Raven 2015,p140,Dorsal,Female,Photo,Yes,Q00016_dorsal.jpg,,,
SHS116,,Nyssus coloripes,Yes,Raven 2015,p133 image a,Dorsal,,Photo,Yes,SHS116_dorsal.jpg,,,
SHS116,b,Nyssus coloripes,Yes,Raven 2015,p133 image b,Dorsal,,Photo,Yes,SHS116_b_dorsal.jpg,,,
SHS116,c,Nyssus coloripes,Yes,Raven 2015,p133 image c,Dorsal,,Photo,Yes,SHS116_c_dorsal_interpolated.jpg,,Interpolated,
SHS116,d,Nyssus coloripes,Yes,Raven 2015,p133 image d,Dorsal,,Photo,Yes,SHS116_d_dorsal_interpolated_angle_adjusted.jpg,,"Interpolated, angle adjusted",
Q50886,,Nyssus luteofinis,Yes,Raven 2015,p138,Dorsal,Female,Drawing,Yes,Q50886_dorsal.jpg,,,
Q00017,,Nyssus paradoxus,Yes,Raven 2015,p158,Dorsal,Female,Drawing,Yes,Q00017_dorsal.jpg,,,
Q84600,,Nyssus semifuscus,Yes,Raven 2015,,,,,,Q84600.jpg,No,,No image available
Q84597,,Poecilipta gloverae,Yes,Raven 2015,,,,,,Q84597.jpg,No,,No image available
SHS108,A,Opisthoncus quadratarius,No,Gardzinska & Zabka 2013,p438,Dorsal,Female,Drawing,,SHS108_A_dorsal.jpg,No,,
SHS108,B,Opisthoncus quadratarius,No,Gardzinska & Zabka 2013,p438,Dorsal,Female,Photo,,SHS108_B_dorsal.jpg,No,,
TBS402,,Abracadabrella elegans,No,Taxonomic literature,,,,,,TBS402.jpg,No,,
KWS603,,Helpis minitabunda,No,Taxonomic literature,,,,, ,KWS603.jpg,No,,
4012,,Myrmarachne smaragdina,Yes,Jim's images,,Dorsal,Male,Photo,Yes,4012_dorsal.jpg,,,
4013,,Myrmarachne smaragdina,Yes,Jim's images,,Dorsal,Male,Photo,Yes,4013_dorsal_angle_adjust.jpg,,Angle adjusted,
4014,,Myrmarachne smaragdina,Yes,Jim's images,,Lateral,Male,Photo,Yes,4014_lateral_interpolated.jpg,,Interpolated,
4015,,Myrmarachne smaragdina,Yes,Jim's images,,Lateral,Male,Photo,Yes,4015_lateral_angle_adjust.jpg,,Angle adjusted,
4028,,Myrmarachne smaragdina,Yes,Jim's images,,Dorsal,Female,Photo,Yes,4028_dorsal_angle_adjust.jpg,,Angle adjusted,
4029,,Myrmarachne smaragdina,Yes,Jim's images,,Dorsal,Female,Photo,Yes,4029_dorsal.jpg,,,
4030,,Myrmarachne smaragdina,Yes,Jim's images,,Lateral,Female,Photo,Yes,4030_lateral_interpolated.jpg,,Interpolated,
4033,,Myrmarachne smaragdina,Yes,Jim's images,,Dorsal,Female,Photo,Yes,4033_dorsal_angle_adjust.jpg,,Angle adjusted,
4034,,Myrmarachne smaragdina,Yes,Jim's images,,Lateral,Female,Photo,Yes,4034_dorsal_angle_adjust.jpg,,Angle adjusted,
4035,,Myrmarachne smaragdina,Yes,Jim's images,,Lateral,Female,Photo,Yes,4035_lateral.jpg,,,
4036,,Myrmarachne smaragdina,Yes,Jim's images,,Lateral,Female,Photo,Yes,4036_lateral_interpolated.jpg,,Interpolated,
4358,,Damoetas sp (?),Yes,Jim's images,,Dorsal,Male,Photo,Yes,4358_dorsal.jpg,,,
4359,,Damoetas sp (?),Yes,Jim's images,,Lateral,Male,Photo,Yes,4359_lateral_interpolated.jpg,,Interpolated,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
